Campaign,StartDate,EndDate,Salon,Đã sử dụng,,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,1146 KVC,2,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,1180 QT,1,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,12 LDT,1,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,148 TD,8,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,25 TD,2,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,29 HB,8,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,304 NT TH,2,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,36 N1 BD,2,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,401/1 NDT,1,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,451 PVT,4,Marketing,,,,,,,,,,,,,,
(5043) [Khách trên 6 tháng quay lại] Ưu đãi Giảm giá thẻ - 4637 [Thẻ giảm 50k cho 3 lần tiếp theo],2026-03-10,2027-05-31,483 TN,1,Marketing,,,,,,,,,,,,,,
(5044) Tặng gội free lột mụn giảm 100%,2026-03-10,2027-05-31,32 NAT,34,Salon,,,,,,,,,,,,,,
(5040) Combo Dầu gội Laborie tím + Dầu xả Laborie 513k,2026-03-06,2026-03-06,109 TQH,1,CTKM Tháng 3,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,10 TP,32,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,103 TN,33,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,109 TQH,5,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,11 PKT,4,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,116 TK,13,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,1180 QT,57,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,12 LDT,5,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,168 NVC,78,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,186 QT,13,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,190 HB,2,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,202 DC,2,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,25 TD,105,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,255 NAN,10,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,264 LLQ,1,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,29 HB,1,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,312 LVS,19,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,32 NAT,27,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,341 XVNT,6,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,346 KT,12,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,362 NGT BN,23,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,382 NT,19,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,401/1 NDT,8,Clearstock,,,,,,,,,,,,,,
"(5041) KH sử dụng Combo 3, 4, Uốn, Nhuộm, bill từ 500k tặng tinh dầu Arren date ngắn",2026-03-06,2026-04-10,420 HTP,20,Clearstock,,,,,,,,,,,,,,
